Date,Close/Last_Apple,Volume_Apple,Open_Apple,High_Apple,Low_Apple,Daily Return_Apple,Close/Last_Microsoft,Volume_Microsoft,Open_Microsoft,High_Microsoft,Low_Microsoft,Daily Return_Microsoft,CORESTICKM159SFRBATL,Inflation Rate
2014-05-31,,,,,,,,,,,,,2.127518,5.025067580776055
2014-06-30,23.23,197896920.0,23.03,23.43,23.02,0.010000000000000009,41.7,30790300.0,42.17,42.21,41.7,-0.013017751479289852,2.142724,0.7147295581048096
2014-07-31,23.9,226501680.0,24.29,24.36,23.83,-0.026079869600652006,43.16,31527670.0,43.38,43.69,43.08,-0.009603359454777083,2.098319,-2.0723620960982236
2014-08-31,24.545,223490800.0,24.744999999999997,24.875,24.479999999999997,-0.009843770197848933,44.76,32262245.0,44.875,45.08315,44.545,-0.005663006170110341,1.959017,-6.638742726916169
2014-09-30,25.19,220479920.0,25.2,25.39,25.13,0.006392329204954139,46.36,32996820.0,46.37,46.4763,46.01,-0.0017226528854435985,1.95017,-0.45160404427322387
2014-10-31,27.0,178203160.0,27.0,27.01,26.8,0.009345794392523255,46.95,35826980.0,46.94,46.97,46.48,0.01954397394136831,2.001463,2.630180958583117
2014-11-30,27.3,171711140.0,27.605,27.645000000000003,27.175,-0.004747650261967995,46.7,28689035.0,46.834999999999994,47.205,46.465,0.003710736438995499,1.999147,-0.11571535421840418
2014-12-31,27.6,165219120.0,28.21,28.28,27.55,-0.018841094916459245,46.45,21551090.0,46.73,47.44,46.45,-0.012122501063377311,1.961226,-1.896859010367924
2015-01-31,28.77,166171973.33333334,29.313333333333333,29.393333333333334,28.73,-0.01762562389808901,44.51833333333334,25995640.0,44.74666666666666,45.303333333333335,44.480000000000004,-0.01056376372975154,1.976365,0.7719151184004236
2015-02-28,29.94,167124826.66666666,30.416666666666668,30.506666666666668,29.91,-0.01641015287971877,42.586666666666666,30440190.0,42.763333333333335,43.166666666666664,42.51,-0.00900502639612577,1.972517,-0.19470087762127886
2015-03-31,31.11,168077680.0,31.52,31.62,31.09,-0.015194681861348536,40.655,34884740.0,40.78,41.03,40.54,-0.0074462890625,1.989606,0.8663550174725865
2015-04-30,31.29,331699920.0,31.88,31.97,31.15,-0.027052238805970075,48.64,64127280.0,48.7,49.54,48.6,-0.008560945780676787,2.05371,3.2219444452821433
2015-05-31,31.325,254502060.0,31.634999999999998,31.75,31.185,-0.009831933730000741,46.394999999999996,50035160.0,46.705,47.129999999999995,46.269999999999996,-0.006759625470910857,2.056561,0.13882193688494748
2015-06-30,31.36,177304200.0,31.39,31.53,31.22,0.007388371345968592,44.15,35943040.0,44.71,44.72,43.94,-0.004958305161144927,2.103732,2.293683484224407
2015-07-31,30.33,171331560.0,30.65,30.66,30.23,-0.008499509643674408,46.7,31192430.0,47.29,47.37,46.5,-0.0038395904436859807,2.130475,1.2712170561649527
2015-08-31,28.19,224446360.0,28.01,28.63,28.0,-0.004590395480225995,43.52,34434480.0,43.56,43.93,43.1,-0.00933302982016837,2.169207,1.8179983337049288
2015-09-30,27.58,265203720.0,27.54,27.89,27.18,0.011367803447011271,44.26,34944070.0,43.88,44.3,43.66,0.01887661141804786,2.268536,4.579046628560568
